# Lista de servicos nacional (LC 116/2003), gerada por gerar_lista.go.
# Fonte: docs/anexos/ANEXO_B-NBS2-LISTA_SERVICO_NACIONAL-SNNFSe-v1.00-20251210.xlsx
# Nao edite a mao: rode 'go generate ./internal/domain/servico'.
codigo,grupo,descricao
010101,Serviços de Informática e congêneres.,Análise e desenvolvimento de sistemas.
010201,Serviços de Informática e congêneres.,Programação.
010301,Serviços de Informática e congêneres.,"Processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres."
010302,Serviços de Informática e congêneres.,"Armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres."
010401,Serviços de Informática e congêneres.,"Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres."
010501,Serviços de Informática e congêneres.,Licenciamento ou cessão de direito de uso de programas de computação.
010601,Serviços de Informática e congêneres.,Assessoria e consultoria em informática.
010701,Serviços de Informática e congêneres.,"Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados."
010801,Serviços de Informática e congêneres.,"Planejamento, confecção, manutenção e atualização de páginas eletrônicas."
010901,Serviços de Informática e congêneres.,"Disponibilização, sem cessão definitiva, de conteúdos de áudio por meio da internet (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS)."
010902,Serviços de Informática e congêneres.,"Disponibilização, sem cessão definitiva, de conteúdos de vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS)."
020101,Serviços de pesquisas e desenvolvimento de qualquer natureza.,Serviços de pesquisas e desenvolvimento de qualquer natureza.
030201,"Serviços prestados mediante locação, cessão de direito de uso e congêneres.",Cessão de direito de uso de marcas e de sinais de propaganda.
030301,"Serviços prestados mediante locação, cessão de direito de uso e congêneres.","Exploração de salões de festas, centro de convenções, stands e congêneres, para realização de eventos ou negócios de qualquer natureza."
030302,"Serviços prestados mediante locação, cessão de direito de uso e congêneres.","Exploração de escritórios virtuais e congêneres, para realização de eventos ou negócios de qualquer natureza."
030303,"Serviços prestados mediante locação, cessão de direito de uso e congêneres.","Exploração de quadras esportivas, estádios, ginásios, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza."
030304,"Serviços prestados mediante locação, cessão de direito de uso e congêneres.","Exploração de auditórios, casas de espetáculos e congêneres, para realização de eventos ou negócios de qualquer natureza."
030305,"Serviços prestados mediante locação, cessão de direito de uso e congêneres.","Exploração de parques de diversões e congêneres, para realização de eventos ou negócios de qualquer natureza."
030401,"Serviços prestados mediante locação, cessão de direito de uso e congêneres.","Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia."
030402,"Serviços prestados mediante locação, cessão de direito de uso e congêneres.","Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de rodovia."
030403,"Serviços prestados mediante locação, cessão de direito de uso e congêneres.","Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de postes, cabos, dutos e condutos de qualquer natureza."
030501,"Serviços prestados mediante locação, cessão de direito de uso e congêneres.","Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário."
040101,"Serviços de saúde, assistência médica e congêneres.",Medicina.
040102,"Serviços de saúde, assistência médica e congêneres.",Biomedicina.
040201,"Serviços de saúde, assistência médica e congêneres.",Análises clínicas e congêneres.
040202,"Serviços de saúde, assistência médica e congêneres.",Patologia e congêneres.
040203,"Serviços de saúde, assistência médica e congêneres.","Eletricidade médica (eletroestimulação de nervos e musculos, cardioversão, etc) e congêneres."
